variable,pearson,spearman,pearson.wo.GERNL,spearman.wo.GERNL,pearson.wo.GERNLESP,spearman.wo.GERNLESP,type,pearson.diff.GERNL,spearman.diff.GERNL,pearson.diff.GERNLESP,spearman.diff.GERNLESP
Vote_Share_Timbro_2020,0.425070004663017,0.862290908577547,0.476405229354236,0.898645105261295,0.505476646363186,0.9,media,-0.0513352246912188,-0.0363541966837484,-0.0804066417001684,-0.0377090914224532
Vdem_Polarization of society_2019,-0.705611459546239,-0.80952380952381,-0.742714300618573,-0.771428571428571,-0.731703953992476,-0.9,media,0.0371028410723339,-0.0380952380952381,0.0260924944462375,0.0904761904761903
Vdem_Online media fractionalization,-0.529005625369901,-0.571428571428572,-0.634786066011105,-0.542857142857143,-0.710166659711355,-0.5,media,0.105780440641204,-0.0285714285714287,0.181161034341454,-0.0714285714285716
Vdem_Online media perspectives,-0.520546620050499,-0.690476190476191,-0.549025778656547,-0.657142857142857,-0.551601433561238,-0.6,media,0.0284791586060484,-0.0333333333333336,0.0310548135107392,-0.0904761904761908
Vdem_Print/broadcast media perspectives,-0.067427289671547,0.0238095238095238,-0.153141734850242,0.0285714285714286,-0.128459058258115,0.1,media,0.0857144451786948,-0.00476190476190476,0.0610317685865684,-0.0761904761904762
Political Parallelism_Brüggemann,0.527208760004163,0.595238095238095,0.62478177434311,0.6,0.616067435781346,0.6,media,-0.0975730143389469,-0.00476190476190463,-0.0888586757771828,-0.00476190476190452
Public Broadcasting_Brüggemann,-0.342448017174719,-0.562884343099232,-0.659302377000403,-0.771428571428571,-0.652280824283128,-0.6,media,0.316854359825685,0.20854422832934,0.30983280710841,0.0371156569007681
Trust_overall_Reuters,-0.709911657514304,-0.642857142857143,-0.930573974780349,-0.828571428571429,-0.955697839370953,-0.7,media,0.220662317266044,0.185714285714286,0.245786181856649,0.0571428571428568
Social Media_Reuters,-0.100872820424769,-0.0239525252382652,-0.0516922677524529,-0.0857142857142857,-0.399147353107771,-0.3,media,-0.0491805526723162,0.0617617604760205,0.298274532683002,0.276047474761735
Online_Reuters,-0.540808909759969,-0.395216666431375,-0.513538190915191,-0.371428571428571,-0.698034443403903,-0.4,media,-0.0272707188447775,-0.023788095002804,0.157225533643934,0.00478333356862443
Polarization Score_Reuters,0.224310218767558,0.571428571428571,0.411063022741981,0.7,0.372005232253776,0.8,media,-0.186752803974423,-0.128571428571429,-0.147695013486218,-0.228571428571429
